time,arrived_system_global,arrived_system_task_1,arrived_system_task_2,arrived_cloudlet_global,arrived_cloudlet_task_1,arrived_cloudlet_task_2,arrived_cloud_global,arrived_cloud_task_1,arrived_cloud_task_2,completed_system_global,completed_system_task_1,completed_system_task_2,completed_cloudlet_global,completed_cloudlet_task_1,completed_cloudlet_task_2,completed_cloud_global,completed_cloud_task_1,completed_cloud_task_2,population_system_global,population_system_task_1,population_system_task_2,population_cloudlet_global,population_cloudlet_task_1,population_cloudlet_task_2,population_cloud_global,population_cloud_task_1,population_cloud_task_2,response_system_global,response_system_task_1,response_system_task_2,response_cloudlet_global,response_cloudlet_task_1,response_cloudlet_task_2,response_cloud_global,response_cloud_task_1,response_cloud_task_2,service_system_global,service_system_task_1,service_system_task_2,service_cloudlet_global,service_cloudlet_task_1,service_cloudlet_task_2,service_cloud_global,service_cloud_task_1,service_cloud_task_2,switched_system_global,switched_system_task_1,switched_system_task_2,switched_cloudlet_global,switched_cloudlet_task_1,switched_cloudlet_task_2,switched_cloud_global,switched_cloud_task_1,switched_cloud_task_2,switched_completed_system_global,switched_completed_system_task_1,switched_completed_system_task_2,switched_completed_cloudlet_global,switched_completed_cloudlet_task_1,switched_completed_cloudlet_task_2,switched_completed_cloud_global,switched_completed_cloud_task_1,switched_completed_cloud_task_2,switched_ratio_system_global,switched_ratio_system_task_1,switched_ratio_system_task_2,switched_ratio_cloudlet_global,switched_ratio_cloudlet_task_1,switched_ratio_cloudlet_task_2,switched_ratio_cloud_global,switched_ratio_cloud_task_1,switched_ratio_cloud_task_2,switched_response_system_global,switched_response_system_task_1,switched_response_system_task_2,switched_response_cloudlet_global,switched_response_cloudlet_task_1,switched_response_cloudlet_task_2,switched_response_cloud_global,switched_response_cloud_task_1,switched_response_cloud_task_2,switched_service_system_global,switched_service_system_task_1,switched_service_system_task_2,switched_service_cloudlet_global,switched_service_cloudlet_task_1,switched_service_cloudlet_task_2,switched_service_cloud_global,switched_service_cloud_task_1,switched_service_cloud_task_2,throughput_system_global,throughput_system_task_1,throughput_system_task_2,throughput_cloudlet_global,throughput_cloudlet_task_1,throughput_cloudlet_task_2,throughput_cloud_global,throughput_cloud_task_1,throughput_cloud_task_2
50000.02597026685,726138.0,299983.0,426155.0,482296.0,293464.0,188832.0,243842.0,6519.0,237323.0,613500.0,299967.0,313533.0,369687.0,293448.0,76239.0,243813.0,6519.0,237294.0,43.145924082901054,13.800514078900179,29.34541000400104,18.59973750015451,13.083474328510478,5.51626317164502,25.253058002071224,0.5967518019911784,24.65630620008007,3.474202474780047,2.2632420069019985,4.63276689596689,2.165082110802315,2.223008340753941,1.9421209449050063,5.459185966217485,4.0743309567125765,5.497231048718359,2131423.2182775587,678897.9150843718,1452525.303193187,800402.7102961753,652337.3515775625,148065.35871861278,1331020.5079813837,26560.56350680929,1304459.9444745744,112589.0,0.0,112589.0,112589.0,0.0,112589.0,112589.0,0.0,112589.0,112571.0,0.0,112571.0,0.0,0.0,0.0,112571.0,0.0,112571.0,0.1550517945624661,0.0,0.26419729910478584,0.23344377726541377,0.0,0.5962389849178106,0.4617293165246348,0.0,0.4744125095334207,6.536513003109718,0,6.536513003109718,0,0,0,6.536513003109718,0,6.536513003109718,735821.8052730641,0.0,735821.8052730641,0.0,0.0,0.0,735821.8052730641,0.0,735821.8052730641,12.269993626899826,5.999336883912404,6.270656742987422,7.393736159653979,5.868956951632437,1.5247792080215417,4.876257467245847,0.13037993227996733,4.74587753496588
50100.05652517779,1472.0,603.0,869.0,972.0,294052.0,189216.0,500.0,6534.0,237808.0,1259.0,603.0,656.0,754.0,294036.0,76405.0,505.0,6534.0,237784.0,42.13052128929569,13.42459212097095,28.705929168324687,18.601851851851837,12.872942386831262,5.728909465020585,23.96019900497512,0.42985074626865727,23.530348258706475,3.385750201563667,2.208634698718024,4.467763384819646,2.179605586507153,2.2000597034652207,2.1071536541496614,5.186607706024283,2.5447745126279187,5.267480150720091,4262.659503768657,1331.8067233269685,2930.852780441688,1643.4226122263935,653630.9866831995,148415.1462252016,2619.236891542263,26598.735124498708,1307041.0097484274,218.0,0.0,218.0,218.0,0.0,112807.0,218.0,0.0,112807.0,227.0,0.0,227.0,0.0,0.0,0.0,227.0,0.0,112798.0,0.1480978260869565,0.0,0.2508630609896433,0.2242798353909465,0.0,0.5677083333333334,0.436,0.0,0.44948453608247424,6.674804823916865,0,6.674804823916865,0,0,0,6.674804823916865,0,6.674804823916865,1515.1806950291284,0.0,1515.1806950291284,0.0,0.0,0.0,1515.1806950291284,0.0,737336.985968093,12.586154311759293,6.0281581016607255,6.557996210098567,7.537696863436463,5.878203920027374,1.6594929434090886,5.0484574483228295,0.1499541816333514,4.898503266689478
50200.07881858855,2922.0,1181.0,1741.0,1951.0,294622.0,189625.0,971.0,6542.0,238271.0,2486.0,1181.0,1305.0,1510.0,294606.0,76591.0,976.0,6542.0,238247.0,42.18586387434562,13.166129681836468,29.01973419250902,18.614911606456584,12.692031770433013,5.922879836023574,24.14843348741652,0.39599383667180266,23.752439650744687,3.37899323537988,2.183782745721321,4.4606358317682,2.150001253448155,2.1729972239322963,2.0743497369122577,5.280405010704577,2.7268103210122008,5.342034263446366,8400.177183154381,2579.04742269688,5821.129760457501,3246.501892706714,654853.6823628756,148795.52982600595,5153.675290447667,26623.28014419257,1309550.9031276405,442.0,0.0,442.0,442.0,0.0,113031.0,442.0,0.0,113031.0,444.0,0.0,444.0,0.0,0.0,0.0,444.0,0.0,113015.0,0.1512662559890486,0.0,0.25387708213670307,0.2265504869297796,0.0,0.5573770491803278,0.4552008238928939,0.0,0.46624472573839665,6.481483916906162,0,6.481483916906162,0,0,0,6.481483916906162,0,6.481483916906162,2877.7788591063363,0.0,2877.7788591063363,0.0,0.0,0.0,2877.7788591063363,0.0,738699.5841321697,12.42671634448485,5.903440065501451,6.523276278983399,7.5480055028850055,5.788470445258832,1.7595350576261735,4.878710841599845,0.1149696202426193,4.763741221357225
50300.093973620336,4333.0,1759.0,2574.0,2913.0,295195.0,190014.0,1420.0,6547.0,238715.0,3703.0,1766.0,1937.0,2273.0,295186.0,76774.0,1430.0,6547.0,238696.0,42.14960097389429,13.193696740159583,28.95590423373464,18.597529593412286,12.713329902213102,5.884199691199182,24.272631578947326,0.37649122807017554,23.896140350877154,3.3741149789632527,2.197200471482778,4.447130477265016,2.1373162417569067,2.1791389627684064,2.001451028452258,5.340019545166067,3.3183041195391394,5.380396172782011,12494.347767100924,3880.2560326385865,8614.091734462338,4858.119817513449,656124.6950948529,149136.13501883473,7636.227949587475,26653.476022156385,1312003.2599088147,643.0,0.0,643.0,643.0,0.0,113232.0,643.0,0.0,113232.0,651.0,0.0,651.0,0.0,0.0,0.0,651.0,0.0,113222.0,0.14839603046388183,0.0,0.2498057498057498,0.2207346378304154,0.0,0.5439932318104906,0.4528169014084507,0.0,0.4619252873563218,6.536912727162729,0,6.536912727162729,0,0,0,6.536912727162729,0,6.536912727162729,4255.530185382937,0.0,4255.530185382937,0.0,0.0,0.0,4255.530185382937,0.0,740077.3354584465,12.340536007225557,5.8853325921578,6.455203415067757,7.574949593417146,5.792020410628685,1.7829291827884615,4.765586413808411,0.09331218152911575,4.672274232279295
50400.11675325998,5814.0,2399.0,3415.0,3893.0,295808.0,190381.0,1921.0,6574.0,239189.0,4944.0,2401.0,2543.0,3021.0,295794.0,76914.0,1923.0,6574.0,239162.0,42.79435565446098,13.670038438195387,29.124317216265524,18.61199589005903,13.019522219368083,5.592473670690997,24.953173777315264,0.5741415192507805,24.379032258064477,3.411922508584069,2.227535669376258,4.530173708323728,2.146028295317152,2.2000842477828564,1.9581538294141259,5.400620594012752,3.398463579523906,5.459570613175967,16868.544882439637,5348.313142172396,11520.231740267242,6483.151480153116,657498.749222859,149387.1125534674,10385.393402286521,26747.479003683104,1314658.422379986,872.0,0.0,872.0,872.0,0.0,113461.0,872.0,0.0,113461.0,878.0,0.0,878.0,0.0,0.0,0.0,878.0,0.0,113449.0,0.1499828001375989,0.0,0.25534407027818445,0.2239917801181608,0.0,0.5629438347320852,0.45393024466423737,0.0,0.46730975348338694,6.602137228985998,0,6.602137228985998,0,0,0,6.602137228985998,0,6.602137228985998,5796.676487049706,0.0,5796.676487049706,0.0,0.0,0.0,5796.676487049706,0.0,741618.4817601134,12.357195442027665,6.001137996826138,6.356057445201528,7.550786292549672,5.86366919639905,1.6871170961506219,4.806409149477994,0.1374688004270877,4.668940349050906
50500.20130260742,7253.0,2987.0,4266.0,4871.0,296383.0,190784.0,2382.0,6587.0,239637.0,6155.0,2993.0,3162.0,3759.0,296373.0,77073.0,2396.0,6587.0,239622.0,42.292395282635205,13.626677511183367,28.665717771451877,18.60248383454782,12.963153032946757,5.639330801601158,24.41921305985764,0.5556718292172462,23.863541230640397,3.401568478764542,2.2340227975208715,4.506712129606511,2.1542111500281815,2.2042305307740593,1.9787834657575678,5.358503453188573,3.5155283892036095,5.412336058150332,20936.653986795754,6686.430232979968,14250.223753815786,8097.6797129559345,658784.725880076,149715.66412905467,12838.97427383982,26799.619437275134,1317059.8628179478,1113.0,0.0,1113.0,1113.0,0.0,113702.0,1113.0,0.0,113702.0,1121.0,0.0,1121.0,0.0,0.0,0.0,1121.0,0.0,113692.0,0.1534537432786433,0.0,0.2609001406469761,0.22849517552863888,0.0,0.5701844262295082,0.4672544080604534,0.0,0.48098530682800344,6.474755021087822,0,6.474755021087822,0,0,0,6.474755021087822,0,6.474755021087822,7258.200378639449,0.0,7258.200378639449,0.0,0.0,0.0,7258.200378639449,0.0,743080.0056517032,12.305684830952497,5.9839016570334405,6.321783173919057,7.515364627059372,5.8479493307126,1.6674152963467723,4.790320203893125,0.13595232632083995,4.654367877572285
50600.23091069534,8669.0,3608.0,5061.0,5829.0,296987.0,191138.0,2840.0,6604.0,240078.0,7352.0,3610.0,3742.0,4506.0,296973.0,77220.0,2846.0,6604.0,240055.0,42.14049530548366,13.709824465913744,28.43067083957001,18.593669583118917,12.999313775947885,5.594355807171028,24.26151952163198,0.5891663735490681,23.67235314808297,3.3996884506992258,2.238633699197553,4.51978670107898,2.1484247356757633,2.2030214243930275,1.9522439734654107,5.380782723325973,3.7154956837381605,5.432050162067358,24994.50948954071,8081.467654103166,16913.041835437543,9680.80185895499,660103.0020985479,149980.5100565825,15313.707630585719,26876.380639927032,1319457.8349720424,1323.0,0.0,1323.0,1323.0,0.0,113912.0,1323.0,0.0,113912.0,1328.0,0.0,1328.0,0.0,0.0,0.0,1328.0,0.0,113899.0,0.1526127581035875,0.0,0.26141078838174275,0.22696860524961399,0.0,0.5737207285342585,0.4658450704225352,0.0,0.48021778584392016,6.51853344396299,0,6.51853344396299,0,0,0,6.51853344396299,0,6.51853344396299,8656.61241358285,0.0,8656.61241358285,0.0,0.0,0.0,8656.61241358285,0.0,744478.4176866467,12.2491494234475,6.014612271306512,6.234537152140988,7.507435704849624,5.872993976829766,1.6344417280198582,4.741713718597876,0.14161829447674612,4.60009542412113
50700.41269510486,10199.0,4215.0,5984.0,6826.0,297585.0,191537.0,3373.0,6613.0,240602.0,8627.0,4218.0,4409.0,5250.0,297574.0,77363.0,3377.0,6611.0,240579.0,42.989100185528564,13.773249072356254,29.215851113172533,18.611176212099064,13.093818661198256,5.517357550900817,25.075111111111056,0.5465185185185176,24.52859259259252,3.4442321230181645,2.248481780372504,4.58818198586221,2.150989641070646,2.215964156329215,1.9124799880841192,5.454751231760975,3.706826528226963,5.503703765315048,29713.390525277704,9484.096149611221,20229.294375666483,11292.69561562089,661480.4196865753,150214.9862252194,18420.694909656813,26901.59154740617,1322539.6113436336,1578.0,0.0,1578.0,1578.0,0.0,114167.0,1578.0,0.0,114167.0,1585.0,0.0,1585.0,0.0,0.0,0.0,1585.0,0.0,114156.0,0.15472105108343956,0.0,0.26370320855614976,0.23117491942572516,0.0,0.5833641404805915,0.4678327898013638,0.0,0.48124428179322964,6.587713787766072,0,6.587713787766072,0,0,0,6.587713787766072,0,6.587713787766072,10441.526353609224,0.0,10441.526353609224,0.0,0.0,0.0,10441.526353609224,0.0,746263.3316266733,12.317480748932361,6.02238713330204,6.295093615630321,7.495858807452753,5.891031131342868,1.6048276761098845,4.821621941479608,0.13135600195917205,4.690265939520437
50800.55176300467,264.0,102.0,162.0,177.0,298171.0,191894.0,87.0,6648.0,241080.0,245.0,104.0,141.0,137.0,298162.0,77496.0,108.0,6648.0,241074.0,46.90000000000003,13.768085106382967,33.131914893617065,18.756373937677058,13.300283286118974,5.4560906515580765,29.974358974358978,0.15384615384615394,29.820512820512846,4.015375945037314,2.557634468076825,5.090589516696114,2.2757270723698366,2.459269146444146,1.7197025538506054,6.222152755735873,12.68926259624277,6.161712476852631,983.7671065341419,265.9939846799898,717.7731218541521,311.7746089146676,662858.5568743232,150470.9744883818,671.9924976194743,27018.927150950898,1325287.0939175533,39.0,0.0,39.0,39.0,0.0,114388.0,39.0,0.0,114388.0,48.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,114384.0,0.14772727272727273,0.0,0.24074074074074073,0.22033898305084745,0.0,0.52,0.4482758620689655,0,0.4482758620689655,7.268531269658827,0,7.268531269658827,0,0,0,7.268531269658827,0,7.268531269658827,348.8895009436237,0.0,348.8895009436237,0.0,0.0,0.0,348.8895009436237,0.0,747795.5565151541,12.713984277475138,5.396956591254752,7.317027686220386,7.1094524327105875,5.3450627778773026,1.7643896548332845,5.6045318447645505,0.05189381337744954,5.552638031387101
50900.56593257865,1768.0,727.0,1041.0,1170.0,298789.0,192269.0,598.0,6655.0,241584.0,1489.0,728.0,761.0,885.0,298779.0,77627.0,604.0,6655.0,241563.0,44.334454912517,14.06527590847912,30.2691790040377,18.73418803418809,13.616666666666642,5.117521367521375,26.288685524126446,0.33194675540765384,25.956738768718804,3.5023543091729645,2.2876780537907515,4.664357349801415,2.1541913538752504,2.246833920697453,1.7499328804692733,5.477725526786338,5.963650032187616,5.47120305020377,5215.0055663585445,1665.4296231596672,3549.575943198877,1906.4593481795964,664222.9725751409,150701.2435268282,3308.546218178948,27053.947088612156,1327888.6277004508,285.0,0.0,285.0,285.0,0.0,114634.0,285.0,0.0,114634.0,287.0,0.0,287.0,0.0,0.0,0.0,287.0,0.0,114623.0,0.16119909502262444,0.0,0.2737752161383285,0.24358974358974358,0.0,0.6333333333333333,0.4765886287625418,0.0,0.48223350253807107,6.649144324309327,0,6.649144324309327,0,0,0,6.649144324309327,0,6.649144324309327,1908.3044210767766,0.0,1908.3044210767766,0.0,0.0,0.0,1908.3044210767766,0.0,749354.9714352868,12.482783843319014,6.103066916008222,6.379716927310793,7.419250303114391,6.036000246601539,1.3832500565128525,5.063533540204624,0.06706666940668377,4.99646687079794
