time,arrived_system_global,arrived_system_task_1,arrived_system_task_2,arrived_cloudlet_global,arrived_cloudlet_task_1,arrived_cloudlet_task_2,arrived_cloud_global,arrived_cloud_task_1,arrived_cloud_task_2,completed_system_global,completed_system_task_1,completed_system_task_2,completed_cloudlet_global,completed_cloudlet_task_1,completed_cloudlet_task_2,completed_cloud_global,completed_cloud_task_1,completed_cloud_task_2,population_system_global,population_system_task_1,population_system_task_2,population_cloudlet_global,population_cloudlet_task_1,population_cloudlet_task_2,population_cloud_global,population_cloud_task_1,population_cloud_task_2,response_system_global,response_system_task_1,response_system_task_2,response_cloudlet_global,response_cloudlet_task_1,response_cloudlet_task_2,response_cloud_global,response_cloud_task_1,response_cloud_task_2,service_system_global,service_system_task_1,service_system_task_2,service_cloudlet_global,service_cloudlet_task_1,service_cloudlet_task_2,service_cloud_global,service_cloud_task_1,service_cloud_task_2,switched_system_global,switched_system_task_1,switched_system_task_2,switched_cloudlet_global,switched_cloudlet_task_1,switched_cloudlet_task_2,switched_cloud_global,switched_cloud_task_1,switched_cloud_task_2,switched_completed_system_global,switched_completed_system_task_1,switched_completed_system_task_2,switched_completed_cloudlet_global,switched_completed_cloudlet_task_1,switched_completed_cloudlet_task_2,switched_completed_cloud_global,switched_completed_cloud_task_1,switched_completed_cloud_task_2,switched_ratio_system_global,switched_ratio_system_task_1,switched_ratio_system_task_2,switched_ratio_cloudlet_global,switched_ratio_cloudlet_task_1,switched_ratio_cloudlet_task_2,switched_ratio_cloud_global,switched_ratio_cloud_task_1,switched_ratio_cloud_task_2,switched_response_system_global,switched_response_system_task_1,switched_response_system_task_2,switched_response_cloudlet_global,switched_response_cloudlet_task_1,switched_response_cloudlet_task_2,switched_response_cloud_global,switched_response_cloud_task_1,switched_response_cloud_task_2,switched_service_system_global,switched_service_system_task_1,switched_service_system_task_2,switched_service_cloudlet_global,switched_service_cloudlet_task_1,switched_service_cloudlet_task_2,switched_service_cloud_global,switched_service_cloud_task_1,switched_service_cloud_task_2,throughput_system_global,throughput_system_task_1,throughput_system_task_2,throughput_cloudlet_global,throughput_cloudlet_task_1,throughput_cloudlet_task_2,throughput_cloud_global,throughput_cloud_task_1,throughput_cloud_task_2
100.04387699173492,1475.0,607.0,868.0,990.0,593.0,397.0,485.0,14.0,471.0,1196.0,596.0,600.0,738.0,582.0,156.0,458.0,14.0,444.0,42.41656416564167,13.653136531365314,28.763427634276354,18.66122448979595,12.723979591836725,5.937244897959182,24.62142099681865,0.7571580063626715,23.86426299045598,3.341367233241974,2.199402386611809,4.475718980894604,2.060924940639819,2.135176781819356,1.7839084562392395,5.404612674159857,4.869352528698071,5.4214902463140575,3996.275210957401,1310.8438224206382,2685.431388536763,1520.9626061921865,1242.6728870188651,278.2897191733214,2475.3126047652145,68.170935401773,2407.1416693634415,232.0,0.0,232.0,232.0,0.0,232.0,232.0,0.0,232.0,220.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,220.0,0.15728813559322033,0.0,0.2672811059907834,0.23434343434343435,0.0,0.5843828715365239,0.47835051546391755,0.0,0.49256900212314225,6.732295965448339,0,6.732295965448339,0,0,0,6.732295965448339,0,6.732295965448339,1481.1051123986344,0.0,1481.1051123986344,0.0,0.0,0.0,1481.1051123986344,0.0,1481.1051123986344,11.95475461330639,5.95738607820285,5.99736853510354,7.376763298177354,5.817447479050434,1.5593158191269203,4.577991315129036,0.13993859915241594,4.438052715976619
200.06294809432,2965.0,1249.0,1716.0,1953.0,1201.0,752.0,1012.0,48.0,964.0,2460.0,1240.0,1220.0,1475.0,1192.0,283.0,985.0,48.0,937.0,42.854812726540516,14.544301248489692,28.31051147805073,18.701312065860535,13.454334962696159,5.246977103164379,24.908863294942385,0.8878317476214326,24.021031547320977,3.384262014446455,2.294778163740319,4.491606256147773,2.1557562807224597,2.2541991027518624,1.7411137229166371,5.223902580175279,3.3024915116203233,5.322331322214381,8325.28455553828,2845.5249230379954,5479.759632500283,3179.7405140656283,2687.00533048022,492.7351835854083,5145.54404147265,158.51959255777552,4987.0244489148745,459.0,0.0,459.0,459.0,0.0,459.0,459.0,0.0,459.0,446.0,0.0,446.0,0.0,0.0,0.0,446.0,0.0,446.0,0.1548060708263069,0.0,0.2674825174825175,0.2350230414746544,0.0,0.6103723404255319,0.4535573122529644,0.0,0.47614107883817425,6.5174437400754,0,6.5174437400754,0,0,0,6.5174437400754,0,6.5174437400754,2906.7799080736286,0.0,2906.7799080736286,0.0,0.0,0.0,2906.7799080736286,0.0,2906.7799080736286,12.296129910273185,6.198049223064532,6.098080687208653,7.372679519371117,5.958124737010421,1.4145547823606957,4.923450390902068,0.23992448605411093,4.683525904847957
300.07656583712776,4394.0,1857.0,2537.0,2923.0,1798.0,1125.0,1471.0,59.0,1412.0,3690.0,1847.0,1843.0,2236.0,1788.0,448.0,1454.0,59.0,1395.0,42.79964945395721,14.291896993393534,28.50775246056352,18.66237555784414,13.257809818056984,5.404565739787138,24.741538461538422,0.8000000000000007,23.941538461538485,3.4178312998369984,2.2757492236409145,4.562392121722058,2.1374441050358413,2.222292644764649,1.79880752236819,5.386844895143317,3.895755376704685,5.449908896281581,12611.797496398523,4203.308816064769,8408.488680333754,4779.325018860141,3973.4592488391927,805.8657700209492,7832.472477538382,229.8495672255764,7602.622910312805,667.0,0.0,667.0,667.0,0.0,667.0,667.0,0.0,667.0,658.0,0.0,658.0,0.0,0.0,0.0,658.0,0.0,658.0,0.15179790623577605,0.0,0.262908947575877,0.22819021553198768,0.0,0.5928888888888889,0.45343303874915025,0.0,0.4723796033994334,6.623167925794549,0,6.623167925794549,0,0,0,6.623167925794549,0,6.623167925794549,4358.044495172813,0.0,4358.044495172813,0.0,0.0,0.0,4358.044495172813,0.0,4358.044495172813,12.296861601658083,6.155095766466797,6.141765835191286,7.451431583010155,5.958479280153022,1.492952302857133,4.845430018647927,0.19661648631377424,4.648813532334153
400.1362706237361,5864.0,2469.0,3395.0,3891.0,2399.0,1492.0,1973.0,70.0,1903.0,4912.0,2457.0,2455.0,2969.0,2387.0,582.0,1943.0,70.0,1873.0,42.894571602187675,14.299372088312737,28.59519951387484,18.671347590827082,13.332002061324403,5.3393455295026895,24.91521961184877,0.7438712972420843,24.17134831460678,3.4318088697121913,2.2825043559249854,4.582049680455641,2.158517395007518,2.230826547055766,1.861950477586267,5.377461154013879,4.044717638365378,5.4272700414113135,16857.045168026285,5608.1132025076895,11248.931965518597,6408.6381457773205,5324.982967822113,1083.6551779552074,10448.407022248968,283.13023468557645,10165.27678756339,902.0,0.0,902.0,902.0,0.0,902.0,902.0,0.0,902.0,890.0,0.0,890.0,0.0,0.0,0.0,890.0,0.0,890.0,0.15381991814461118,0.0,0.26568483063328424,0.23181701362117707,0.0,0.6045576407506702,0.45717181956411557,0.0,0.47398843930635837,6.540634893609829,0,6.540634893609829,0,0,0,6.540634893609829,0,6.540634893609829,5821.165055312747,0.0,5821.165055312747,0.0,0.0,0.0,5821.165055312747,0.0,5821.165055312747,12.275817916589089,6.140408106893199,6.135409809695891,7.419972189404113,5.965467704987409,1.4545044844167039,4.855845727184976,0.17494040190578913,4.680905325279187
500.21171550609046,7266.0,3081.0,4185.0,4807.0,2978.0,1829.0,2459.0,103.0,2356.0,6130.0,3069.0,3061.0,3685.0,2966.0,719.0,2445.0,103.0,2342.0,43.15077298616779,14.596663954434494,28.55410903173313,18.65711606584705,13.507605751198131,5.149510314648868,25.19861337683514,0.862357259380098,24.33625611745514,3.469008960838536,2.3317080095552685,4.609282276581217,2.1882440576307025,2.274941991491309,1.8306000077968254,5.39932334460985,3.9663488792417136,5.46234485183996,21265.024929940224,7156.011881325119,14109.013048615105,8063.679352369139,6747.4779467632225,1316.2014056059174,13201.345577571083,408.5339345618965,12792.811643009187,1106.0,0.0,1106.0,1106.0,0.0,1106.0,1106.0,0.0,1106.0,1097.0,0.0,1097.0,0.0,0.0,0.0,1097.0,0.0,1097.0,0.15221579961464354,0.0,0.2642771804062127,0.23008113168296235,0.0,0.604702022963368,0.4497763318422123,0.0,0.4694397283531409,6.556555236756416,0,6.556555236756416,0,0,0,6.556555236756416,0,6.556555236756416,7192.541094721788,0.0,7192.541094721788,0.0,0.0,0.0,7192.541094721788,0.0,7192.541094721788,12.254810933002553,6.135402080486923,6.1194088525156305,7.366880634276412,5.929489270356537,1.4373913639198752,4.887930298726141,0.20591281013038548,4.682017488595755
600.2135183845664,8745.0,3704.0,5041.0,5766.0,3586.0,2180.0,2979.0,118.0,2861.0,7354.0,3691.0,3663.0,4402.0,3573.0,829.0,2952.0,118.0,2834.0,43.48441100718471,14.549613664091083,28.934797343093372,18.647007730391692,13.582471988187248,5.06453574220444,25.526218175686957,0.7629404822121069,24.763277693474947,3.4896144430663183,2.3156561222865477,4.672546510223876,2.188114083267084,2.2692251019317804,1.8385246144022356,5.430401903715448,3.721571679299979,5.501552915176642,25662.624614309705,8547.086747359648,17115.537866950057,9632.078194541704,8107.941289202251,1524.1369053394533,16030.546419768003,439.1454581573975,15591.400961610605,1345.0,0.0,1345.0,1345.0,0.0,1345.0,1345.0,0.0,1345.0,1334.0,0.0,1334.0,0.0,0.0,0.0,1334.0,0.0,1334.0,0.1538021726700972,0.0,0.26681214044832374,0.23326396115157821,0.0,0.6169724770642202,0.45149378986236993,0.0,0.47011534428521495,6.636268430491569,0,6.636268430491569,0,0,0,6.636268430491569,0,6.636268430491569,8852.782086275753,0.0,8852.782086275753,0.0,0.0,0.0,8852.782086275753,0.0,8852.782086275753,12.252306512177178,6.149478288883052,6.102828223294126,7.334056740087563,5.95288158390115,1.381175156186413,4.918249772089616,0.19659670498190196,4.721653067107713
700.2821773599494,10098.0,4303.0,5795.0,6713.0,4179.0,2534.0,3385.0,124.0,3261.0,8518.0,4294.0,4224.0,5148.0,4170.0,978.0,3370.0,124.0,3246.0,42.96021562078882,14.37815667662737,28.582058944161215,18.643027591349682,13.52117822520505,5.121849366144633,25.00991857883033,0.681865284974094,24.328053293856364,3.4855326008866196,2.3026925145502286,4.687974677290138,2.1948759349017,2.2633309602808867,1.9029971457082375,5.457135128035096,3.6263834928014984,5.527071419707606,29689.766694352227,9887.761657478683,19802.005036873543,11299.221312873953,9438.090104371297,1861.1312085026564,18390.545381478274,449.6715531073858,17940.873828370888,1549.0,0.0,1549.0,1549.0,0.0,1549.0,1549.0,0.0,1549.0,1541.0,0.0,1541.0,0.0,0.0,0.0,1541.0,0.0,1541.0,0.15339671222024162,0.0,0.2672993960310613,0.23074631312378965,0.0,0.6112865035516969,0.45760709010339734,0.0,0.4750076663600123,6.623274577618319,0,6.623274577618319,0,0,0,6.623274577618319,0,6.623274577618319,10206.46612410983,0.0,10206.46612410983,0.0,0.0,0.0,10206.46612410983,0.0,10206.46612410983,12.163668126058411,6.131813915625125,6.031854210433286,7.351322318965567,5.954742437856724,1.3965798811088432,4.812345807092845,0.1770714777684014,4.635274329324443
800.311267465319,11604.0,4948.0,6656.0,7699.0,4794.0,2905.0,3905.0,154.0,3751.0,9776.0,4934.0,4842.0,5898.0,4780.0,1118.0,3878.0,154.0,3724.0,43.046892540055175,14.500765384222829,28.546127155832206,18.642174393653658,13.513037258599402,5.129137135054266,25.14146216112022,0.8224335089297187,24.3190286521906,3.4774189807885594,2.308381946578798,4.6686682015219265,2.192284547633053,2.2574777725284627,1.9135514394040207,5.431963304344819,3.888394621647634,5.495795091975155,33995.247956188956,11389.556524419788,22605.69143176917,12930.094261939747,10790.743752686052,2139.3505092536952,21065.15369424921,598.8127717337356,20466.340922515476,1782.0,0.0,1782.0,1782.0,0.0,1782.0,1782.0,0.0,1782.0,1766.0,0.0,1766.0,0.0,0.0,0.0,1766.0,0.0,1766.0,0.15356773526370218,0.0,0.26772836538461536,0.2314586309910378,0.0,0.6134251290877797,0.4563380281690141,0.0,0.4750733137829912,6.6131083675715745,0,6.6131083675715745,0,0,0,6.6131083675715745,0,6.6131083675715745,11678.7493771314,0.0,11678.7493771314,0.0,0.0,0.0,11678.7493771314,0.0,11678.7493771314,12.215247238692209,6.16510125569838,6.050145982993829,7.369632591428667,5.972676125301632,1.3969564661270346,4.845614647263542,0.19242513039674716,4.653189516866795
900.3144745443394,13081.0,5582.0,7499.0,8698.0,5418.0,3280.0,4383.0,164.0,4219.0,11013.0,5569.0,5444.0,6656.0,5405.0,1251.0,4357.0,164.0,4193.0,43.056361000362706,14.456370061616507,28.599990938745957,18.629834254143542,13.491482504604049,5.138351749539557,25.098169336384338,0.8029748283752853,24.295194508009065,3.4730323816418487,2.297308737912515,4.675751884200383,2.181047304987946,2.2445326275405946,1.9067562031517624,5.446741968561375,4.0366677413285466,5.501893929750543,38248.50561902168,12793.712361434797,25454.793257586884,14517.050861999769,12131.698851856914,2385.352010142855,23731.45475702191,662.0135095778816,23069.44124744403,2022.0,0.0,2022.0,2022.0,0.0,2022.0,2022.0,0.0,2022.0,2008.0,0.0,2008.0,0.0,0.0,0.0,2008.0,0.0,2008.0,0.15457533827689016,0.0,0.2696359514601947,0.23246723384686135,0.0,0.6164634146341463,0.46132785763175904,0.0,0.47926048826736195,6.615781172069736,0,6.615781172069736,0,0,0,6.615781172069736,0,6.615781172069736,13284.488593516031,0.0,13284.488593516031,0.0,0.0,0.0,13284.488593516031,0.0,13284.488593516031,12.232392471057203,6.185616423437534,6.0467760476196695,7.392972331549691,6.003457850364495,1.3895144811851958,4.839420139507513,0.18215857307303926,4.657261566434474
1000.3253080123018,14579.0,6218.0,8361.0,9694.0,6040.0,3654.0,4885.0,178.0,4707.0,12284.0,6204.0,6080.0,7421.0,6026.0,1395.0,4863.0,178.0,4685.0,42.98581704393074,14.40342179054741,28.58239525338326,18.629084714263495,13.439884363223372,5.189200351040182,25.08001641362321,0.7954452195322115,24.28457119409101,3.454050712801936,2.280314875338881,4.651724583792198,2.1736500704101562,2.2276230230553593,1.9405023910983337,5.407958417344275,4.064141290285523,5.459014863153551,42429.55895605899,14147.073486602418,28282.485469456566,16130.657172513771,13423.656336931595,2707.0008355821756,26298.90178354521,723.417149670823,25575.48463387439,2256.0,0.0,2256.0,2256.0,0.0,2256.0,2256.0,0.0,2256.0,2243.0,0.0,2243.0,0.0,0.0,0.0,2243.0,0.0,2243.0,0.15474312367103368,0.0,0.26982418371008254,0.23272127088920982,0.0,0.6174055829228243,0.46182190378710336,0.0,0.4792861695347355,6.5353493601451405,0,6.5353493601451405,0,0,0,6.5353493601451405,0,6.5353493601451405,14658.78861480555,0.0,14658.78861480555,0.0,0.0,0.0,14658.78861480555,0.0,14658.78861480555,12.280005215912157,6.20198244541835,6.0780227704938055,7.4185866743148905,6.0240403314137625,1.3945463429011282,4.861418541597266,0.1779421140045884,4.6834764275926775
