time,arrived_system_global,arrived_system_task_1,arrived_system_task_2,arrived_cloudlet_global,arrived_cloudlet_task_1,arrived_cloudlet_task_2,arrived_cloud_global,arrived_cloud_task_1,arrived_cloud_task_2,completed_system_global,completed_system_task_1,completed_system_task_2,completed_cloudlet_global,completed_cloudlet_task_1,completed_cloudlet_task_2,completed_cloud_global,completed_cloud_task_1,completed_cloud_task_2,population_area_system_global,population_area_system_task_1,population_area_system_task_2,population_area_cloudlet_global,population_area_cloudlet_task_1,population_area_cloudlet_task_2,population_area_cloud_global,population_area_cloud_task_1,population_area_cloud_task_2,service_system_global,service_system_task_1,service_system_task_2,service_cloudlet_global,service_cloudlet_task_1,service_cloudlet_task_2,service_cloud_global,service_cloud_task_1,service_cloud_task_2,switched_system_global,switched_system_task_1,switched_system_task_2,switched_cloudlet_global,switched_cloudlet_task_1,switched_cloudlet_task_2,switched_cloud_global,switched_cloud_task_1,switched_cloud_task_2,switched_completed_system_global,switched_completed_system_task_1,switched_completed_system_task_2,switched_completed_cloudlet_global,switched_completed_cloudlet_task_1,switched_completed_cloudlet_task_2,switched_completed_cloud_global,switched_completed_cloud_task_1,switched_completed_cloud_task_2,switched_service_system_global,switched_service_system_task_1,switched_service_system_task_2,switched_service_cloudlet_global,switched_service_cloudlet_task_1,switched_service_cloudlet_task_2,switched_service_cloud_global,switched_service_cloud_task_1,switched_service_cloud_task_2,switched_service_lost_system_global,switched_service_lost_system_task_1,switched_service_lost_system_task_2,switched_service_lost_cloudlet_global,switched_service_lost_cloudlet_task_1,switched_service_lost_cloudlet_task_2,switched_service_lost_cloud_global,switched_service_lost_cloud_task_1,switched_service_lost_cloud_task_2,population_system_global,population_system_task_1,population_system_task_2,population_cloudlet_global,population_cloudlet_task_1,population_cloudlet_task_2,population_cloud_global,population_cloud_task_1,population_cloud_task_2,response_system_global,response_system_task_1,response_system_task_2,response_cloudlet_global,response_cloudlet_task_1,response_cloudlet_task_2,response_cloud_global,response_cloud_task_1,response_cloud_task_2,service_lost_system_global,service_lost_system_task_1,service_lost_system_task_2,service_lost_cloudlet_global,service_lost_cloudlet_task_1,service_lost_cloudlet_task_2,service_lost_cloud_global,service_lost_cloud_task_1,service_lost_cloud_task_2,switched_ratio_system_global,switched_ratio_system_task_1,switched_ratio_system_task_2,switched_ratio_cloudlet_global,switched_ratio_cloudlet_task_1,switched_ratio_cloudlet_task_2,switched_ratio_cloud_global,switched_ratio_cloud_task_1,switched_ratio_cloud_task_2,switched_response_system_global,switched_response_system_task_1,switched_response_system_task_2,switched_response_cloudlet_global,switched_response_cloudlet_task_1,switched_response_cloudlet_task_2,switched_response_cloud_global,switched_response_cloud_task_1,switched_response_cloud_task_2,throughput_system_global,throughput_system_task_1,throughput_system_task_2,throughput_cloudlet_global,throughput_cloudlet_task_1,throughput_cloudlet_task_2,throughput_cloud_global,throughput_cloud_task_1,throughput_cloud_task_2
100.04665852078642,1460,602,858,986,599,387,474,3,471,1183,589,594,739,587,152,444,2,442,2973.390048454549,703.3725647980631,2270.0174836564856,978.9459391512003,702.0949739571038,276.85096519409643,1994.4441093033486,1.2775908409592844,1993.1665184623894,3718.8511088718064,1266.7539500326016,2452.097158839205,1821.7184491045095,1262.120300648694,559.5981484558157,1897.1326597672967,4.633649383907539,1892.499010383389,227,0,227,227,0,227,227,0,227,211,0,211,0,0,0,211,0,211,1039.9989861038528,0,1039.9989861038528,0,0,0,1039.9989861038528,0,1039.9989861038528,279.52510978791014,0,279.52510978791014,279.52510978791014,0,279.52510978791014,0,0,0,29.720033556510792,7.030445346177406,22.689588210333383,9.784893904755522,7.017675396037654,2.7672185087178685,19.935139651755268,0.012769950139752472,19.92236970161552,3.1435765924529218,2.1506858234848925,4.128109695015496,2.465112921656982,2.1501197626042488,3.681566766156682,4.2728213057822,2.3168246919537694,4.281671969193188,1.231388148845419,0.0,1.231388148845419,1.231388148845419,0.0,1.231388148845419,0.0,0.0,0.0,0.15547945205479452,0.0,0.26456876456876455,0.2302231237322515,0.0,0.58656330749354,0.47890295358649787,0.0,0.4819532908704883,4.9289051474116246,0.0,4.9289051474116246,0.0,0.0,0.0,4.9289051474116246,0.0,4.9289051474116246,11.824482871201653,5.887253094791018,5.937229776410636,7.386553543379562,5.86726242214317,1.5192911212363915,4.437929327822092,0.01999067264784726,4.417938655174244
200.13422180644258,2919,1197,1722,1968,1183,785,951,14,937,2405,1182,1223,1474,1168,306,931,14,917,6261.540159089401,1391.1547497616918,4870.385409327709,1962.5100353320713,1386.763337190573,575.7466981414981,4299.030123757329,4.391412571118771,4294.6387111862105,7994.385299991911,2538.6853807545417,5455.69991923737,3661.7351252259737,2482.756433580024,1178.9786916459498,4332.650174765938,55.92894717451789,4276.72122759142,474,0,474,474,0,474,474,0,474,463,0,463,0,0,0,463,0,463,2373.9250329506212,0,2373.9250329506212,0,0,0,2373.9250329506212,0,2373.9250329506212,596.6595487603809,0,596.6595487603809,596.6595487603809,0,596.6595487603809,0,0,0,31.28670400580054,6.951108796910957,24.33559520888958,9.80596930209212,6.929166459756017,2.8768028423361027,21.480734703708418,0.021942337154941313,21.458792366553478,3.3240687318053683,2.1477879701815072,4.460915714830229,2.4842165028670107,2.1256476314897466,3.8528715413266332,4.653759586214756,3.994924798179849,4.663818132596968,1.258775419325698,0.0,1.258775419325698,1.258775419325698,0.0,1.258775419325698,0.0,0.0,0.0,0.16238437821171633,0.0,0.27526132404181186,0.24085365853658536,0.0,0.6038216560509554,0.49842271293375395,0.0,0.5058697972251868,5.127267889742162,0.0,5.127267889742162,0.0,0.0,0.0,5.127267889742162,0.0,5.127267889742162,12.016935326163093,5.906036405623608,6.110898920539486,7.365057243561081,5.836083351749894,1.5289738918111877,4.651878082602012,0.06995305387371448,4.581925028728298
300.1570090534334,4362,1793,2569,2929,1774,1155,1433,19,1414,3616,1778,1838,2211,1759,452,1405,19,1386,9626.337151072948,2150.353804665661,7475.983346407288,2973.8539656176526,2145.1121350666626,828.7418305509902,6652.483185455296,5.241669598998193,6647.241515856298,12259.780804911312,3891.069497144701,8368.71130776661,5551.223622795217,3816.384712370715,1734.8389104245018,6708.557182116096,74.68478477398595,6633.872397342109,699,0,699,699,0,699,699,0,699,689,0,689,0,0,0,689,0,689,3558.520948997044,0,3558.520948997044,0,0,0,3558.520948997044,0,3558.520948997044,848.5400355932563,0,848.5400355932563,848.5400355932563,0,848.5400355932563,0,0,0,32.07100570941285,7.164096588805157,24.9069091206077,9.907661243680145,7.146633496353882,2.761027747326264,22.16334446573271,0.017463092451274663,22.145881373281437,3.390426107552907,2.188453035514455,4.553161756129821,2.5107298158277778,2.169633150864534,3.8381391823550923,4.774773795100424,3.930778145999261,4.786343721026053,1.2139342426226842,0.0,1.2139342426226842,1.2139342426226842,0.0,1.2139342426226842,0.0,0.0,0.0,0.16024759284731774,0.0,0.27209030751265084,0.23864800273130762,0.0,0.6051948051948052,0.48778785764131194,0.0,0.49434229137199437,5.164761899850571,0.0,5.164761899850571,0.0,0.0,0.0,5.164761899850571,0.0,5.164761899850571,12.047028358269277,5.923566488109174,6.123461870160102,7.366144828576706,5.860266283793047,1.5058785447836596,4.68088352969257,0.06330020431612728,4.617583325376443
400.23477328132844,5855,2427,3428,3893,2383,1510,1962,44,1918,4880,2411,2469,2948,2367,581,1932,44,1888,13262.663536134147,2982.221213766558,10280.44232236759,4026.2392148326444,2969.3833196394253,1056.855895193219,9236.424321301503,12.837894127132735,9223.58642717437,16904.51584411849,5354.807511011617,11549.708333106872,7429.427760627904,5189.778190306891,2239.649570321013,9475.088083490586,165.02932070472627,9310.058762785859,928,0,928,928,0,928,928,0,928,916,0,916,0,0,0,916,0,916,4785.171084298989,0,4785.171084298989,0,0,0,4785.171084298989,0,4785.171084298989,1112.4726912704991,0,1112.4726912704991,1112.4726912704991,0,1112.4726912704991,0,0,0,33.13720951180748,7.4511796896526254,25.686029822154854,10.059693668852123,7.419103780750755,2.640589888101367,23.07751584295536,0.03207590890187063,23.045439934053487,3.464040131991494,2.2209902575742917,4.677889158812017,2.520158670497932,2.1925552134798862,3.854818537557682,4.904289898287052,3.75066637965287,4.9311751921535265,1.1987852276621758,0.0,1.1987852276621758,1.1987852276621758,0.0,1.1987852276621758,0.0,0.0,0.0,0.15849701110162254,0.0,0.2707117852975496,0.2383765733367583,0.0,0.614569536423841,0.47298674821610603,0.0,0.48383733055265904,5.223985899889725,0.0,5.223985899889725,0.0,0.0,0.0,5.223985899889725,0.0,5.223985899889725,12.192843615239314,6.023964335315981,6.168879279923333,7.365676839697848,5.91402886009661,1.451647979601238,4.827166775541466,0.10993547521937086,4.717231300322095
500.2350632354912,7253,2976,4277,4826,2931,1895,2427,45,2382,6085,2968,3117,3683,2923,760,2402,45,2357,16502.776792871024,3633.8899766243717,12868.886816246652,5004.329119918174,3621.0372816314143,1383.29183828676,11498.447672952849,12.852694992957346,11485.594977959892,20978.10963657784,6572.938669607188,14405.17096697065,9294.569697314491,6405.09210645058,2889.4775908639112,11683.539939263346,167.8465631566075,11515.69337610674,1126,0,1126,1126,0,1126,1126,0,1126,1111,0,1111,0,0,0,1111,0,1111,5777.737655569328,0,5777.737655569328,0,0,0,5777.737655569328,0,5777.737655569328,1380.4189507238657,0,1380.4189507238657,1380.4189507238657,0,1380.4189507238657,0,0,0,32.990044092735175,7.264364783069349,25.725679309665825,10.003955115721928,7.238671472189007,2.76528364353292,22.986088977013246,0.02569331088034266,22.960395666132904,3.447511854819694,2.214601977630454,4.6214857128555185,2.5236409713045047,2.191273385716928,3.8019441985051463,4.864088234497646,3.7299236257023884,4.885741780274391,1.2259493345682644,0.0,1.2259493345682644,1.2259493345682644,0.0,1.2259493345682644,0.0,0.0,0.0,0.1552461050599752,0.0,0.2632686462473697,0.23331951927061748,0.0,0.5941952506596306,0.4639472599917594,0.0,0.4727120067170445,5.200483938406236,0.0,5.200483938406236,0.0,0.0,0.0,5.200483938406236,0.0,5.200483938406236,12.164281249384189,5.933210640619929,6.231070608764259,7.362538675674934,5.843252932119965,1.5192857435549685,4.801742573709256,0.08995770849996525,4.711784865209291
600.2795923308571,8776,3599,5177,5817,3544,2273,2959,55,2904,7372,3587,3785,4440,3533,907,2932,54,2878,19904.145814958676,4355.408312060464,15548.737502898211,6000.218012680485,4341.601185317357,1658.6168273631279,13903.92780227819,13.807126743106643,13890.120675535083,25354.527715724194,7944.401840017922,17410.12587570627,11159.981565896118,7743.5483385887255,3416.433227307393,14194.546149828073,200.85350142919611,13993.692648398877,1358,0,1358,1358,0,1358,1358,0,1358,1346,0,1346,0,0,0,1346,0,1346,6979.8674894674405,0,6979.8674894674405,0,0,0,6979.8674894674405,0,6979.8674894674405,1621.3859483432284,0,1621.3859483432284,1621.3859483432284,0,1621.3859483432284,0,0,0,33.15812509579382,7.255632821280198,25.90249227451362,9.995705483476332,7.232631661621422,2.763073821854909,23.162419612317485,0.02300115965877538,23.13941845265871,3.4393011008849967,2.2147760914463124,4.599769055668764,2.513509361688315,2.1917770559266136,3.7667400521580956,4.8412503921651,3.719509285725854,4.862297654064933,1.1939513610774877,0.0,1.1939513610774877,1.1939513610774877,0.0,1.1939513610774877,0.0,0.0,0.0,0.1547402005469462,0.0,0.26231408151439056,0.23345367027677497,0.0,0.5974483062032556,0.4589388306860426,0.0,0.46763085399449034,5.18563706498324,0.0,5.18563706498324,0.0,0.0,0.0,5.18563706498324,0.0,5.18563706498324,12.280943903781361,5.97554880396958,6.305395099811781,7.396553300703912,5.885590723285343,1.5109625774185695,4.884390603077448,0.08995808068423677,4.794432522393212
700.3808452401494,10308,4213,6095,6814,4149,2665,3494,64,3430,8668,4201,4467,5192,4137,1055,3476,64,3412,23351.226438978683,5112.991525739009,18238.234913239674,7008.3107828278935,5097.438434535141,1910.8723482927521,16342.91565615079,15.553091203868327,16327.362564946921,29756.657384792357,9322.357832101321,20434.299552691034,13018.176058067533,9081.015613733127,3937.1604443344063,16738.48132672482,241.34221836819387,16497.139108356627,1603,0,1603,1603,0,1603,1603,0,1603,1596,0,1596,0,0,0,1596,0,1596,8297.449770520803,0,8297.449770520803,0,0,0,8297.449770520803,0,8297.449770520803,1882.0495066544534,0,1882.0495066544534,1882.0495066544534,0,1882.0495066544534,0,0,0,33.340755387123586,7.300301772224862,26.040453614898727,10.006428403142372,7.278095152341454,2.7283332508009193,23.334326983981217,0.022206619883408465,23.312120364097808,3.4329323240415732,2.2190806551062416,4.574501802706746,2.5073528617233305,2.1950726646683894,3.7319056344401957,4.815443419656162,3.770972162003029,4.835034908662552,1.1740795425168142,0.0,1.1740795425168142,1.1740795425168142,0.0,1.1740795425168142,0.0,0.0,0.0,0.15551028327512612,0.0,0.2630024610336341,0.23525095391840328,0.0,0.6015009380863039,0.4587864911276474,0.0,0.4673469387755102,5.198903364987972,0.0,5.198903364987972,0.0,0.0,0.0,5.198903364987972,0.0,5.198903364987972,12.376123731693264,5.998165181915483,6.377958549777782,7.41310964639495,5.906786326489967,1.506323319904983,4.9630140852983144,0.09137885542551556,4.8716352298727985
800.4570005462907,11752,4775,6977,7742,4699,3043,4010,76,3934,9867,4755,5112,5881,4681,1200,3986,74,3912,26750.576400234142,5836.208314578097,20914.368085656046,8021.255761343595,5817.129429492041,2204.126331851554,18729.320638890546,19.07888508605661,18710.24175380449,34130.12896016886,10671.771113596213,23458.357846572646,14920.067798493295,10388.006331249488,4532.061467243809,19210.061161675563,283.76478234672555,18926.296379328836,1842,0,1842,1842,0,1842,1842,0,1842,1830,0,1830,0,0,0,1830,0,1830,9498.311098835602,0,9498.311098835602,0,0,0,9498.311098835602,0,9498.311098835602,2194.381067736672,0,2194.381067736672,2194.381067736672,0,2194.381067736672,0,0,0,33.41912979957397,7.291095350025097,26.128034449548874,10.020845286966445,7.267260359422185,2.7535849275442605,23.39828451260752,0.023834990602912803,23.37444952200461,3.459017833198425,2.2443262068551446,4.588880642913272,2.536995034601819,2.219185287598694,3.7767178893698405,4.819383131378716,3.8346592209016968,4.838010321914324,1.1913035112576937,0.0,1.1913035112576937,1.1913035112576937,0.0,1.1913035112576937,0.0,0.0,0.0,0.15673927842069435,0.0,0.26401031962161386,0.2379230173081891,0.0,0.6053236937232994,0.45935162094763093,0.0,0.4682257244534825,5.190333933789947,0.0,5.190333933789947,0.0,0.0,0.0,5.190333933789947,0.0,5.190333933789947,12.326708359432217,5.940356567254504,6.386351792177712,7.347052990961879,5.847909377774623,1.4991436131872564,4.979655368470337,0.09244718947988081,4.8872081789904565
900.4674024066079,13228,5428,7800,8725,5330,3395,4503,98,4405,11112,5407,5705,6641,5310,1331,4471,97,4374,29898.70753485524,6680.4700743539,23218.23746050134,9074.07970474636,6648.397175145404,2425.682529600956,20824.62783010888,32.07289920849596,20792.554930900384,38234.5818696995,12141.725001283985,26092.85686841551,16789.394082686475,11782.584241117227,5006.8098415692475,21445.18778701302,359.1407601667573,21086.047026846263,2064,0,2064,2064,0,2064,2064,0,2064,2049,0,2049,0,0,0,2049,0,2049,10654.132617595164,0,10654.132617595164,0,0,0,10654.132617595164,0,10654.132617595164,2435.625593302171,0,2435.625593302171,2435.625593302171,0,2435.625593302171,0,0,0,33.20354235472304,7.418891629502119,25.784650725220917,10.077077393912079,7.383273572565491,2.693803821346588,23.126464960810956,0.035618056936627875,23.090846903874333,3.4408371013048504,2.2455566860151626,4.573682185524191,2.528142460877349,2.2189424182894966,3.7616903392706593,4.7965081160843255,3.7024820635748172,4.82076978208648,1.1800511595456256,0.0,1.1800511595456256,1.1800511595456256,0.0,1.1800511595456256,0.0,0.0,0.0,0.15603265799818566,0.0,0.26461538461538464,0.2365616045845272,0.0,0.6079528718703976,0.45836109260493,0.0,0.4685584562996595,5.199674288723847,0.0,5.199674288723847,0.0,0.0,0.0,5.199674288723847,0.0,5.199674288723847,12.340257926385606,6.00465934196967,6.335598584415936,7.375058755320987,5.89693750801904,1.4781212473019476,4.965199171064619,0.10772183395063029,4.8574773371139885
1000.5555662788898,14634,6012,8622,9688,5906,3782,4946,106,4840,12311,6005,6306,7382,5899,1483,4929,106,4823,33190.66669169135,7385.127493323404,25805.539198367947,10070.98536467562,7349.790196577117,2721.195168098503,23119.68132701573,35.337296746287144,23084.344030269443,42507.781235291346,13503.516465369223,29004.26476992212,18665.762364540242,13090.630595360826,5575.131769179414,23842.018870751104,412.88587000839703,23429.133000742706,2286,0,2286,2286,0,2286,2286,0,2286,2278,0,2278,0,0,0,2278,0,2278,11966.170144809606,0,11966.170144809606,0,0,0,11966.170144809606,0,11966.170144809606,2681.898366940616,0,2681.898366940616,2681.898366940616,0,2681.898366940616,0,0,0,33.17223731524367,7.381026843705461,25.79121047153821,10.065393371534634,7.345709168268695,2.719684203265939,23.106843943709034,0.0353176754367657,23.07152626827227,3.452829277499094,2.2487121507692294,4.59947110211261,2.528550848623712,2.219127071598716,3.7593605995815333,4.837090458663239,3.8951497170603493,4.857792452984182,1.1731838875505758,0.0,1.1731838875505758,1.1731838875505758,0.0,1.1731838875505758,0.0,0.0,0.0,0.15621156211562115,0.0,0.2651356993736952,0.23596201486374896,0.0,0.6044420941300899,0.46219167003639305,0.0,0.47231404958677686,5.252928070592453,0.0,5.252928070592453,0.0,0.0,0.0,5.252928070592453,0.0,5.252928070592453,12.30416422126874,6.001665676932726,6.302498544336014,7.377901086947108,5.895724534259142,1.4821765526879653,4.9262631343216325,0.1059411426735835,4.820321991648049
